
ÔöîÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÉ
Ôöé                                                                             Ôöé
Ôöé   ­ƒÜÇ Orionis TestSuite                                                      Ôöé
Ôöé                                                                             Ôöé
Ôöé  ­ƒòÆ Started at: 2026-08-04 22:50:58   ­ƒåö PID: 11356                         Ôöé
Ôöé  ÔÜí Reactor Loop Policy:                                                    Ôöé
Ôöé  AsyncIO.WindowsEvents.WindowsProactorEventLoopPolicy                       Ôöé
Ôöé  ­ƒøæ To stop the server, press Ctrl+C                                        Ôöé
Ôöé                                                                             Ôöé
ÔööÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÇÔöÿ

  PASSED  ÔÇó tests.test_example.Prueba.testAsyncMe...  ÔÇó ~ 0.007s
  PASSED  ÔÇó tests.test_example.Prueba.testSyncMethod  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestCreateTask.te...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestCreateTask.te...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestCreateTask.te...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestCreateTask.te...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestCreateTask.te...  ÔÇó ~ 0.018s
  PASSED  ÔÇó tests.aio.test_loop.TestDetectUvloop....  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestDetectUvloop....  ÔÇó ~ 0.009s
  PASSED  ÔÇó tests.aio.test_loop.TestDetectUvloop....  ÔÇó ~ 0.013s
  PASSED  ÔÇó tests.aio.test_loop.TestEventLoopCont...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.aio.test_loop.TestEventLoopCont...  ÔÇó ~ 0.009s
  PASSED  ÔÇó tests.aio.test_loop.TestEventLoopCont...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestEventLoopCont...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testE...  ÔÇó ~ 0.009s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testE...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testE...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testE...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testE...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testE...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testP...  ÔÇó ~ 0.003s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testP...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestExecute.testR...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestGetEventLoop....  ÔÇó ~ 0.009s
  PASSED  ÔÇó tests.aio.test_loop.TestGetEventLoop....  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestGetEventLoop....  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestGetEventLoop....  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestGetEventLoop....  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestGetLoopFactor...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestGetLoopFactor...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestGetLoopFactor...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestGetLoopFactor...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestGetLoopFactor...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestGetRunningLoo...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestGetRunningLoo...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestGetSyncExecut...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestGetSyncExecut...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.aio.test_loop.TestGetSyncExecut...  ÔÇó ~ 0.011s
  PASSED  ÔÇó tests.aio.test_loop.TestIsLoopRunning...  ÔÇó ~ 0.011s
  PASSED  ÔÇó tests.aio.test_loop.TestIsLoopRunning...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestIsLoopRunning...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestRun.testPropa...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestRun.testRaise...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestRun.testRaise...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.aio.test_loop.TestRun.testRaise...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestRun.testRetur...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.aio.test_loop.TestRun.testRunsC...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestRun.testRunsC...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestRunSync.testP...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestRunSync.testR...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.aio.test_loop.TestRunSync.testR...  ÔÇó ~ 0.007s
  PASSED  ÔÇó tests.aio.test_loop.TestRunSync.testR...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.aio.test_loop.TestRunSync.testR...  ÔÇó ~ 0.009s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.007s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.007s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.013s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.023s
  PASSED  ÔÇó tests.background.test_task.TestBackgr...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.003s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.003s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.030s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.background.test_tasks.TestBackg...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.212s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.063s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestCache...  ÔÇó ~ 0.084s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestDatab...  ÔÇó ~ 0.094s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestDatab...  ÔÇó ~ 0.081s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestDatab...  ÔÇó ~ 0.391s
  PASSED  ÔÇó tests.cache.test_cache_lock.TestDatab...  ÔÇó ~ 0.266s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.007s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.003s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.003s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.004s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.017s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.cache.test_exceptions.TestCache...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.014s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.015s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.016s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.014s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.042s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.015s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.012s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.005s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.008s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.009s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.039s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.012s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.012s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.012s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.015s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.014s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.010s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.006s
  PASSED  ÔÇó tests.cache.test_file_based_cache.Tes...  ÔÇó ~ 0.008s
